pair_idx,of_time_ms,tm_time_ms,of_mean_intensity,tm_mean_intensity,mse,mae,correlation,of_motion_coverage,tm_motion_coverage
72,22.5568999958341,3.340700000990182,0.10157238692045212,0.15750296413898468,0.06826458871364594,0.14633415639400482,0.6487752052376136,0.2612673611111111,0.21388888888888888
73,21.827299999131355,3.166599999531172,0.09989386051893234,0.0992543175816536,0.03832033649086952,0.10593905299901962,0.5155052025941839,0.24864583333333334,0.18333333333333332
74,23.537699998996686,3.351999999722466,0.1006934866309166,0.10289794951677322,0.03695709630846977,0.10752779990434647,0.6205688662039758,0.26166666666666666,0.16805555555555557
75,22.0365999994101,3.7713999990955926,0.09542093425989151,0.10052675753831863,0.050648000091314316,0.11881310492753983,0.5035712002502764,0.2479861111111111,0.12222222222222222
76,24.326999999175314,3.181899999617599,0.07608050853013992,0.11851518601179123,0.052804309874773026,0.11883009970188141,0.5696026022324427,0.18940972222222222,0.1527777777777778
77,30.368899999302812,3.1286000012187287,0.07200316339731216,0.6143598556518555,0.35955810546875,0.548337459564209,0.05337595257151778,0.29453125,0.9625
78,21.958599994832184,3.231300004699733,0.11262554675340652,0.17578348517417908,0.075004942715168,0.16110700368881226,0.5650829329785925,0.36559027777777775,0.25972222222222224
79,21.65680000325665,3.304799996840302,0.1452053189277649,0.19184325635433197,0.06696148216724396,0.15871839225292206,0.6424338130992606,0.4036458333333333,0.275
80,22.29609999631066,3.156200000375975,0.017443910241127014,0.6940773129463196,0.5194405913352966,0.6778041124343872,0.03380852393696361,0.0029340277777777776,0.9625
81,22.721900000760797,3.1466000000364147,0.11041571944952011,0.05359411612153053,0.0294205229729414,0.09546931087970734,0.3956362718205029,0.22928819444444445,0.1986111111111111
82,27.128199995786417,3.3154000047943555,0.1017226055264473,0.13762348890304565,0.05933471396565437,0.15234723687171936,0.5405339372653449,0.22239583333333332,0.22916666666666666
83,22.357200003170874,3.2103999983519316,0.12587757408618927,0.1098392903804779,0.04670818895101547,0.13858824968338013,0.5341500268654079,0.26538194444444446,0.21388888888888888
84,22.441799999796785,3.083100004005246,0.11115672439336777,0.10341226309537888,0.027219509705901146,0.10257784277200699,0.6291601587178567,0.27708333333333335,0.275
85,21.699400000215974,3.288699997938238,0.0876358225941658,0.146998330950737,0.0582883246243,0.15249121189117432,0.521200161014448,0.22795138888888888,0.24444444444444444
86,26.58349999546772,3.082900002482347,0.09987767785787582,0.1419651061296463,0.04923984780907631,0.14174602925777435,0.662904779628594,0.2561805555555556,0.24444444444444444
87,24.03069999854779,4.698700002336409,0.10659486800432205,0.12918350100517273,0.0389498807489872,0.12845337390899658,0.663720817023147,0.27390625,0.25972222222222224
88,30.387700004212093,3.5932999962824397,0.14048047363758087,0.19041083753108978,0.08140630275011063,0.1925242841243744,0.5120931594023127,0.4741666666666667,0.275
89,24.297000003571156,3.285999999206979,0.093257836997509,0.042740460485219955,0.02572953701019287,0.08638694882392883,0.18810098472801906,0.2388888888888889,0.0763888888888889
90,25.61050000076648,4.946300003211945,0.09463021159172058,0.12630288302898407,0.04309913143515587,0.131316676735878,0.5773792039775825,0.2595138888888889,0.25972222222222224
91,25.97070000047097,4.643699998268858,0.18208938837051392,0.1113724634051323,0.056542929261922836,0.18312616646289825,0.36018377892691283,0.6619965277777777,0.22916666666666666
92,24.331900000106543,5.179200001293793,0.14870958030223846,0.06929288059473038,0.04373082518577576,0.16425108909606934,0.22160733963123574,0.65890625,0.1375
93,22.809599999163765,3.231399998185225,0.19579854607582092,0.0436520092189312,0.056070726364851,0.18773379921913147,0.26224638762427904,0.71875,0.06111111111111111
94,21.145099999557715,3.0288999987533316,0.20918162167072296,0.1258213222026825,0.03863738104701042,0.1574709713459015,0.6647917134048857,0.6788020833333334,0.24444444444444444
95,21.599300001980737,3.287100000306964,0.1807018518447876,0.13670526444911957,0.05547167733311653,0.186154305934906,0.4232783036710998,0.66734375,0.25972222222222224
96,25.18899999995483,4.127000000153203,0.15171928703784943,0.1533413976430893,0.03943562135100365,0.14230218529701233,0.6224124078732224,0.45458333333333334,0.3055555555555556
97,22.100200003478676,3.122600006463472,0.19408199191093445,0.09921269863843918,0.046329159289598465,0.16015946865081787,0.39514929937922655,0.6403125,0.35138888888888886
98,21.92009999998845,3.163900000799913,0.09414443373680115,0.1494915932416916,0.042998332530260086,0.14192549884319305,0.6593183684512833,0.21958333333333332,0.35138888888888886
99,22.241500002564862,3.424399998039007,0.14231453835964203,0.19323471188545227,0.06601697206497192,0.17754171788692474,0.6286811944341419,0.41564236111111114,0.2902777777777778
100,22.671099999570288,3.1377999985124916,0.12286381423473358,0.6263682246208191,0.31789886951446533,0.5083938837051392,0.1576076788007015,0.48595486111111114,0.9777777777777777
101,22.95089999824995,3.25400000292575,0.03078705631196499,0.08555690944194794,0.05303860083222389,0.08154416084289551,0.5130964636658719,0.10050347222222222,0.10694444444444444
102,22.751700002118014,3.9658999958192,0.04832711070775986,0.11291579902172089,0.04787489026784897,0.08980534970760345,0.7041879906012676,0.14244791666666667,0.16805555555555557
103,25.85980000003474,3.1213999973260798,0.03835354372859001,0.12011411786079407,0.0687888041138649,0.10670801997184753,0.6751272276689255,0.13644097222222223,0.1527777777777778
104,25.49229999567615,3.16989999555517,0.04765652120113373,0.10171636939048767,0.04187358543276787,0.08486723154783249,0.5207062265527717,0.1562673611111111,0.18333333333333332
105,21.405500003311317,3.3266999962506816,0.059516578912734985,0.07616392523050308,0.02757757343351841,0.06656768918037415,0.6035938468462778,0.19501736111111112,0.1527777777777778
106,26.664100005291402,3.1926000010571443,0.10249587148427963,0.07175794988870621,0.010072741657495499,0.056918639689683914,0.8598171520416215,0.2247048611111111,0.16805555555555557
107,21.032099997682963,3.0875000011292286,0.08364754915237427,0.07980449497699738,0.014225644059479237,0.06396159529685974,0.8253430630684163,0.1944965277777778,0.16805555555555557
108,20.640299997467082,3.541199999745004,0.07139729708433151,0.07484027743339539,0.021028224378824234,0.055436499416828156,0.6732916017954672,0.19041666666666668,0.1527777777777778
